time,stormID,clon,clat,area,rain_max,rain_mean,tmin,tcw,q925,ushear600_850,ushear600_925
2020-07-02 10:04:00,192,-75.18027932960891,32.59536312849163,89500,7.6703786638654465,1.3756996563349726,212.03503,54.25432586669922,13.637312889099121,-0.7265625,-3.7708332538604736
2020-07-02 10:04:00,195,-71.85355140186914,32.465887850467304,53500,11.629367200818965,2.4371605441158692,207.62064,52.03034591674805,13.259725570678711,-6.446875095367432,-10.774999618530273
2020-07-02 11:04:00,198,-73.71347346657475,32.542556857339775,145100,15.906924997464438,1.858584447737226,207.18839,51.260169982910156,11.559520721435547,-2.2125000953674316,-5.515625
2020-07-02 12:04:00,209,-73.61195499296764,32.56751054852322,142200,14.385485225789294,1.830548649467444,207.57683,51.18502426147461,11.83340072631836,-2.4036457538604736,-5.520833492279053
2020-07-02 13:04:00,215,-73.52735849056602,32.60707547169812,148400,12.639888990631508,1.6637971312723798,207.93756,51.493534088134766,12.023436546325684,-2.503124952316284,-5.506249904632568
2020-07-02 14:04:00,217,-73.41806245564229,32.703300212916965,140900,9.405574043840145,1.5777667695461997,208.49236,51.76508712768555,12.635808944702148,-2.793750047683716,-5.721875190734863
2020-07-02 15:04:00,219,-73.15635593220337,32.87302259887006,141600,9.064069786381653,1.475406124718039,207.88258,52.05864334106445,13.294195175170898,-3.371875047683716,-6.203125
2020-07-03 10:04:00,195,-70.27165008777061,35.540111176126395,170900,14.85653285652414,2.242333158553241,207.02296,52.395973205566406,12.289148330688477,3.909374952316284,1.140625
2020-07-03 11:04:00,192,-70.39244256348245,35.4174123337364,165400,14.40132320392408,2.1827801878359767,206.98544,53.174400329589844,12.13043212890625,2.5833332538604736,-0.6432291865348816
2020-07-03 12:04:00,208,-70.45326530612242,35.14326530612245,147000,15.472111448386674,2.252140841490422,207.1916,53.768917083740234,11.965017318725586,-0.503125011920929,-4.434374809265137
2020-07-03 13:04:00,229,-70.2550497866287,35.072403982930304,140600,14.092800077445505,2.200969067404305,206.49602,52.848670959472656,11.388855934143066,-0.9166666865348816,-4.645833492279053
2020-07-03 14:04:00,233,-70.12461322081575,35.12222222222223,142200,17.527046741434795,2.1304494053140677,206.55388,51.7472038269043,11.100578308105469,-1.2447916269302368,-4.872395992279053
2020-07-03 15:04:00,234,-69.74838483146067,35.18539325842698,142400,18.56324013477944,1.937386170091473,207.15854,50.09993362426758,10.477633476257324,-0.731249988079071,-3.8031249046325684
2020-07-04 10:04:00,221,-63.44734939759034,35.27168674698795,41500,8.711969683898827,1.8641445887249755,213.31982,45.91402053833008,12.983586311340332,-3.453125,-5.040625095367432
